postal_code,Business_Count
49444,10
49418,9
49686,8
49855,7
49423,7
48858,7
49424,6
49221,6
49202,6
48813,6
48640,6
48507,6
49770,5
49735,5
49707,5
49525,5
49512,5
49508,5
49426,5
49417,5
49022,5
48823,5
48601,5
48161,5
48060,5
49684,4
49660,4
49651,4
49601,4
49548,4
49504,4
49401,4
49015,4
49002,4
48912,4
48906,4
48846,4
48723,4
48604,4
48506,4
48307,4
48195,4
48187,4
48104,4
48103,4
49930,3
49849,3
49829,3
49783,3
49738,3
49721,3
49720,3
49616,3
49546,3
49507,3
49503,3
49464,3
49442,3
49431,3
49428,3
49331,3
49307,3
49242,3
49203,3
49127,3
49093,3
49090,3
49080,3
49058,3
49048,3
49036,3
49017,3
49014,3
49007,3
49001,3
48910,3
48838,3
48706,3
48661,3
48651,3
48642,3
48629,3
48612,3
48603,3
48413,3
48327,3
48315,3
48237,3
48185,3
48183,3
48162,3
48150,3
48116,3
48043,3
48040,3
48036,3
49938,2
49935,2
49931,2
49854,2
49841,2
49801,2
49690,2
49646,2
49456,2
49455,2
49445,2
49441,2
49419,2
49412,2
49404,2
49349,2
49345,2
49341,2
49340,2
49321,2
49106,2
49099,2
49079,2
49024,2
49010,2
48917,2
48911,2
48895,2
48880,2
48879,2
48875,2
48867,2
48847,2
48843,2
48837,2
48829,2
48827,2
48750,2
48734,2
48732,2
48708,2
48653,2
48638,2
48637,2
48617,2
48602,2
48529,2
48509,2
48471,2
48446,2
48423,2
48390,2
48329,2
48240,2
48224,2
48212,2
48209,2
48198,2
48197,2
48184,2
48178,2
48176,2
48174,2
48146,2
48135,2
48091,2
48079,2
48076,2
48072,2
48071,2
48067,2
48066,2
48035,2
48021,2
49953,1
49946,1
49920,1
49913,1
49911,1
49879,1
49870,1
49862,1
49858,1
49837,1
49812,1
49802,1
49779,1
49756,1
49751,1
49740,1
49727,1
49719,1
49713,1
49712,1
49685,1
49677,1
49665,1
49663,1
49653,1
49640,1
49633,1
49631,1
49625,1
49623,1
49614,1
49544,1
49534,1
49519,1
49509,1
49506,1
49505,1
49461,1
49437,1
49435,1
49425,1
49420,1
49408,1
49406,1
49344,1
49337,1
49319,1
49306,1
49304,1
49274,1
49252,1
49251,1
49250,1
49247,1
49240,1
49237,1
49233,1
49230,1
49229,1
49201,1
49125,1
49120,1
49098,1
49094,1
49091,1
49071,1
49068,1
49057,1
49032,1
49031,1
49009,1
49008,1
49006,1
49004,1
48891,1
48890,1
48884,1
48854,1
48842,1
48820,1
48817,1
48809,1
48763,1
48758,1
48756,1
48746,1
48745,1
48739,1
48730,1
48725,1
48656,1
48652,1
48650,1
48647,1
48635,1
48624,1
48532,1
48505,1
48502,1
48463,1
48461,1
48457,1
48455,1
48453,1
48444,1
48442,1
48438,1
48433,1
48430,1
48427,1
48421,1
48420,1
48419,1
48415,1
48386,1
48377,1
48371,1
48357,1
48346,1
48342,1
48341,1
48340,1
48336,1
48326,1
48324,1
48317,1
48316,1
48314,1
48312,1
48309,1
48238,1
48236,1
48234,1
48230,1
48226,1
48204,1
48180,1
48170,1
48158,1
48144,1
48141,1
48131,1
48127,1
48126,1
48124,1
48118,1
48114,1
48111,1
48097,1
48095,1
48092,1
48082,1
48059,1
48047,1
48033,1
48015,1
