postal_code,address,category_name,city,latitude,longitude,neighborhood,permanently_closed,phone,state,temporarily_closed,title,total_score,website
49686,"1253 W South Airport Rd, Traverse City, MI 49686",Thrift store,Traverse City,44.7330174,-85.6005828,1253 W South Airport Rd,FALSE,(231) 943-1311,Michigan,FALSE,Cherryland Humane Society Thrift,4.5,https://cherrylandhumane.org/thrift-store/
48195,"13705 Eureka Rd, Southgate, MI 48195",Thrift store,Southgate,42.1969328,-83.1908222,13705 Eureka Rd,FALSE,(734) 284-0814,Michigan,FALSE,STEP Thrift Store and Donation Center,4.4,http://stepcentral.org/
48127,"23830 Ford Rd, Dearborn Heights, MI 48127",Thrift store,Dearborn Heights,42.3276801,-83.2709853,23830 Ford Rd,FALSE,(313) 633-0755,Michigan,FALSE,Step Thrift Store,4.3,http://stepcentral.org/
48184,"35004 W Michigan Ave, Wayne, MI 48184",Thrift store,Wayne,42.2824983,-83.3832837,35004 W Michigan Ave,FALSE,(734) 728-9777,Michigan,FALSE,STEP Thrift Store and Donation Center,4.3,http://stepcentral.org/
49849,"120 S Main St, Ishpeming, MI 49849",Thrift store,Ishpeming,46.489477,-87.6689822,120 S Main St,FALSE,,Michigan,FALSE,ThriftISH,5,
49935,"117 W Genesee St, Iron River, MI 49935",Thrift store,Iron River,46.0912937,-88.6391623,117 W Genesee St,FALSE,,Michigan,FALSE,ReDo Thrift Store,5,http://www.redothrift.com/
49911,"103 N Case St, Bessemer, MI 49911",Charity,Bessemer,46.4816031,-90.0484472,103 N Case St,FALSE,(906) 663-0089,Michigan,FALSE,St. Vincent de Paul Society Thrift Store,4.2,https://www.svdpup.org/
49938,"130 W Aurora St, Ironwood, MI 49938",Second hand store,Ironwood,46.453258,-90.170942,130 W Aurora St,FALSE,(906) 932-7472,Michigan,FALSE,New Beginnings Resale Store,4.8,
49938,"216 W Aurora St, Ironwood, MI 49938",Charity,Ironwood,46.4526414,-90.1717977,216 W Aurora St,FALSE,(906) 932-4547,Michigan,FALSE,St. Vincent de Paul Society Thrift Store,4.5,https://www.svdpup.org/
49953,"205 Quartz St, Ontonagon, MI 49953",Thrift store,Ontonagon,46.8716088,-89.3164277,205 Quartz St,FALSE,(906) 884-4977,Michigan,FALSE,St. Vincent de Paul Society Thrift Store,4.4,https://www.svdpup.org/
49825,"N5483 Eben Trenary Rd, Eben Junction, MI 49825",Consignment shop,Eben Junction,46.354126,-86.970918,N5483 Eben Trenary Rd,FALSE,(906) 439-5697,Michigan,FALSE,Nifty Thrifty Inc,5,
49855,"1009 W Baraga Ave, Marquette, MI 49855",Thrift store,Marquette,46.5444493,-87.4218794,1009 W Baraga Ave,FALSE,(906) 228-2930,Michigan,FALSE,The Salvation Army Family Store & Donation Center,4.2,https://satruck.org/
48135,"31735 Maplewood St, Garden City, MI 48135",Thrift store,Garden City,42.331985,-83.3536482,31735 Maplewood St,FALSE,,Michigan,FALSE,Garden City Thrift Store,5,
49548,"389 68th St SE, Grand Rapids, MI 49548",Thrift store,Grand Rapids,42.8410491,-85.6550445,389 68th St SE,FALSE,(616) 455-2522,Michigan,FALSE,Rustic Market,4.6,http://www.pinerest.org/rustic-market
49426,"5800 Balsam Dr, Hudsonville, MI 49426",Association or organization,Hudsonville,42.8745849,-85.858326,5800 Balsam Dr,FALSE,(616) 379-4054,Michigan,FALSE,Grant Me Hope Thrift Store,4.7,http://grantmehope.org/store/
49548,"4339 Division Ave S, Wyoming, MI 49548",Thrift store,Wyoming,42.8847475,-85.6650607,4339 Division Ave S,FALSE,(616) 534-7134,Michigan,FALSE,New Life Thrift Store,4.2,https://www.newlifethriftstore.org/
49801,"117 W A St, Iron Mountain, MI 49801",Thrift store,Iron Mountain,45.8183872,-88.067908,117 W A St,FALSE,(906) 774-9637,Michigan,FALSE,St. Vincent de Paul Society Thrift Store,3.8,https://www.svdpup.org/
49855,"219 Silver Creek Rd, Harvey, MI 49855",Thrift store,Harvey,46.4921909,-87.3563388,219 Silver Creek Rd,FALSE,(906) 273-2473,Michigan,FALSE,Silver Creek Thrift,5,
49855,"3125 US Hwy 41, Marquette, MI 49855",Thrift store,Marquette,46.5481045,-87.4567665,3125 US Hwy 41,FALSE,(715) 732-0563,Michigan,FALSE,Goodwill,3.9,http://www.gwnwup.org/
49931,"706 Shelden Ave, Houghton, MI 49931",Boutique,Houghton,47.1220056,-88.5649099,706 Shelden Ave,FALSE,(906) 299-2644,Michigan,FALSE,The Copper Poppy,4.6,
49935,"313 W Genesee St, Iron River, MI 49935",Non-profit organization,Iron River,46.0911407,-88.6418228,313 W Genesee St,FALSE,(906) 265-6271,Michigan,FALSE,St. Vincent de Paul Society,3.9,
