Name,ZIP,Median_Income,Median_Age,Median_Male_Age,Median_Female_Age,Has_Thrift_Store,List_of_Stores
Pearl Beach,48001,58800.00,49.6,50.5,48.7,,
Berlin,48002,80603.00,44.6,43.6,45.8,,
Almont,48003,79784.00,42.7,43,42.5,,
Armada,48005,91122.00,42.7,41.3,46.2,,
Greenwood,48006,66645.00,41.5,41.9,41,,
Birmingham,48009,137907.00,42.3,41.6,43.4,,
Mussey,48014,62417.00,42.4,40.8,43.6,,
Center Line,48015,47391.00,41,37.1,42.8,,
Clawson,48017,77050.00,44,42.5,45.7,,
Eastpointe,48021,52155.00,38.1,34.8,39.9,,
Emmett,48022,83686.00,46.4,43.4,49.8,,
Ira,48023,84890.00,41.6,40.9,43.5,,
Franklin,48025,154073.00,48.7,47.7,49.8,,
Fraser,48026,59471.00,39.1,38.2,42.5,,
Wales,48027,76705.00,46.3,49.4,42.2,,
Harsens Island,48028,78750.00,65.3,61.7,68.5,,
Hazel Park,48030,50871.00,37.1,36.6,38.9,,
Grant Township,48032,73287.00,49.3,50.5,47.3,,
Southfield,48034,53096.00,44.2,39.9,47.9,,
Clinton Township,48035,52749.00,39.3,32.3,46.8,,
Clinton Township,48036,61527.00,38.9,37.6,40,,
Clinton Township,48038,57225.00,42.4,42.3,42.5,,
Cottrellville,48039,70115.00,41.5,39,44.3,,
Marysville,48040,60542.00,47.8,50,45.1,,
Riley,48041,59504.00,44.6,44.1,44.8,,
Macomb,48042,90906.00,46.7,46.8,46.6,,
Mount Clemens,48043,114395.00,42,40.3,42.9,,
Macomb,48044,48101.00,40.8,39.4,42.6,,
Chesterfield,48047,102824.00,38.4,37.4,39.2,,
Lenox,48048,71303.00,46.5,45.6,47.3,,
Ruby,48049,84561.00,41.9,39.8,43.7,,
Lenox,48050,60639.00,35.1,34.2,35.9,,
Chesterfield,48051,79665.00,46.4,44.4,47.5,,
China,48054,79500.00,52.3,47.8,54.3,,
Fort Gratiot,48059,80644.00,35.5,35.5,35.5,,
Port Huron,48060,69306.00,51.7,52.1,51.6,,
Richmond,48062,69866.00,46.9,43.8,48,,
Columbus,48063,46534.00,39.6,37.9,41,,
Casco,48064,69485.00,39.1,37.1,41.4,,
Bruce,48065,96977.00,45,46.9,44.2,,
Roseville,48066,80781.00,40,35.1,44,,
Royal Oak,48067,86886.00,46.9,47.3,46.4,,
Pleasant Ridge,48069,51861.00,40.8,38.7,41.8,,
Huntington Woods,48070,93902.00,35.2,34.8,35.9,,
Madison Heights,48071,134917.00,45.1,43.9,45.5,,
Berkley,48072,157665.00,44.7,43.7,46.1,,
Royal Oak,48073,58537.00,41,38.2,43.3,,
Kimball,48074,96993.00,37.2,36.4,38.1,,
Southfield,48075,82049.00,36.3,35.6,36.9,,
Lathrup Village,48076,55942.00,43.9,40.8,44.8,,
Saint Clair,48079,61716.00,38.4,33.2,42.6,,
Saint Clair Shor,48080,74986.00,45.3,42.1,46.8,,
Saint Clair Shor,48081,84593.00,43.1,41.2,44.6,,
Saint Clair Shor,48082,62521.00,45.2,41.2,49.6,,
Troy,48083,68178.00,45,42.8,48.3,,
Troy,48084,69015.00,41.5,40.1,42.8,,
Warren,48089,80222.00,39.8,37.3,42.1,,
Warren,48091,101599.00,38.2,37.3,38.9,,
Warren,48092,123388.00,43.1,40.3,46,,
Warren,48093,70523.00,42.1,40.5,43.6,,
Washington,48094,43903.00,34.9,36,33.9,,
Washington,48095,47118.00,37.3,36.5,38.3,,
Ray,48096,62728.00,41.3,38,43.9,,
Brockway,48097,59426.00,42.5,39.7,46.3,,
Troy,48098,87687.00,43.9,43.8,44.1,,
Allen Park,48101,127396.00,43.7,43.5,44.2,,
Ann Arbor,48103,109250.00,49.5,54.1,48.1,,
Ann Arbor,48104,53063.00,40.7,37.8,44.1,,
Ann Arbor,48105,149337.00,46.6,45.5,48.3,,
Ann Arbor,48108,69455.00,43.1,42.3,43.9,,
Ann Arbor,48109,106715.00,38.9,38.1,40.1,,
Belleville,48111,58082.00,23.3,23.3,23.4,,
Brighton,48116,83947.00,29.8,27.9,33.8,,
Carleton,48117,73184.00,35.5,34.6,36.5,,
Chelsea,48118,11404.00,19.2,19.1,19.2,,
Dearborn,48120,64318.00,40.1,38.6,40.8,,
Melvindale,48122,100757.00,44,43,45.5,,
Dearborn,48124,93022.00,45.9,43.4,47.8,,
Dearborn Heights,48125,69678.00,48.4,48.4,48.4,,
Dearborn,48126,85731.00,48,45.3,50.3,,
Dearborn Heights,48127,56025.00,29.5,30,29.2,,
Dearborn,48128,36700.00,35.5,34,35.7,,
Dexter,48130,75504.00,39.8,39.1,40.5,,
Dundee,48131,52912.00,37.5,35.6,40.2,,
Erie,48133,42103.00,27.2,25.6,28.9,,
Flat Rock,48134,57164.00,34.9,35.3,34.5,,
Garden City,48135,88229.00,36.5,33.6,38.2,,
Gregory,48137,122781.00,42.5,42.1,42.7,,
Grosse Ile,48138,74361.00,39,37.1,44.6,,
Hamburg,48139,60998.00,39.4,40,36.8,,
Ida,48140,80959.00,40.3,40,40.5,,
Inkster,48141,59049.00,41.4,40.2,42.9,,
Lakeland,48143,75086.00,47.4,40.9,53.4,,
Lambertville,48144,113644.00,52.2,51.8,52.4,,
La Salle,48145,51250.00,69.9,54.8,71.6,,
Lincoln Park,48146,87400.00,38.3,34.6,40.6,,
Livonia,48150,34122.00,31.1,28.8,33.4,,
Livonia,48152,34122.00,60.5,62.6,44.7,,
Livonia,48154,90642.00,45.2,44.2,46.1,,
Luna Pier,48157,70156.00,46.1,46,46.4,,
Manchester,48158,49794.00,35.3,34.4,36.3,,
Maybee,48159,85947.00,40.1,40.3,40,,
Milan,48160,78413.00,48.3,45.9,50,,
Monroe,48161,92485.00,46.8,45.4,48.5,,
Monroe,48162,42125.00,53.8,56.5,51.4,,
New Boston,48164,87956.00,48.7,50.1,48.4,,
New Hudson,48165,65250.00,42.6,42.3,42.9,,
Newport,48166,85450.00,40.1,41.6,38.1,,
Northville,48167,58214.00,41.2,39.3,42.7,,
Pinckney,48169,64423.00,44.1,43.1,45.2,,
Plymouth,48170,96507.00,46.6,45.3,47.2,,
Gibraltar,48173,84129.00,35.6,34,36.7,,
Romulus,48174,66370.00,36.9,36.6,37.7,,
Saline,48176,105802.00,46.9,45.4,47.7,,
South Lyon,48178,153665.00,44.5,44.5,44.6,,
South Rockwood,48179,94893.00,48,48.6,47.5,,
Taylor,48180,96861.00,47.2,45.8,48.3,,
Temperance,48182,78438.00,44.1,43.7,44.4,,
Woodhaven,48183,58558.00,38.6,36.2,40.1,,
Wayne,48184,103172.00,44.4,43.4,46.1,,
Westland,48185,76157.00,34.4,34.6,32.2,,
Westland,48186,117342.00,42.7,42.2,43.3,,
Canton,48187,93066.00,43,39.4,46.3,,
Canton,48188,55358.00,38.7,36.9,40.6,,
Whitmore Lake,48189,72163.00,44.8,44.4,45.2,,
Whittaker,48190,69220.00,46.5,44.2,48.8,,
Willis,48191,47856.00,39.4,37.3,41,,
Riverview,48192,53570.00,39.5,37.1,42.2,,
Southgate,48195,58759.00,37.5,37.5,37.6,,
Ypsilanti,48197,100150.00,39.9,38.1,41.4,,
Ypsilanti,48198,109037.00,39.9,38.7,40.7,,
Detroit,48201,73702.00,42.7,41.3,44.7,,
Detroit,48202,164250.00,54.1,54.4,51.6,,
Highland Park,48203,90547.00,48,48.1,47.1,,
Detroit,48204,58869.00,39.7,38.9,40.5,,
Detroit,48205,63716.00,40.1,35.4,42.2,,
Detroit,48206,60152.00,42.1,40.7,42.9,,
Detroit,48207,63676.00,31.5,31.2,32,,
Detroit,48208,55774.00,34.4,33.1,36.9,,
Detroit,48209,21180.00,31.8,30.1,34,,
Detroit,48210,31269.00,34.8,34.6,34.9,,
Detroit,48211,29881.00,41.4,38.6,44.6,,
Hamtramck,48212,27609.00,40.3,39.6,41.3,,
Detroit,48213,39988.00,30.2,30.6,30,,
Detroit,48214,32200.00,41.4,42.4,40.5,,
Detroit,48215,37139.00,43.2,41.8,45.2,,
Detroit,48216,23827.00,39.2,33.3,43.4,,
Detroit,48217,34104.00,28.6,31.3,26,,
River Rouge,48218,33711.00,28.8,28.4,29.3,,
Detroit,48219,30271.00,32.2,34.3,30.5,,
Ferndale,48220,32439.00,29.6,29,30.3,,
Detroit,48221,28718.00,37.3,33.5,39.4,,
Detroit,48223,30313.00,45,43.7,47.7,,
Detroit,48224,30017.00,40.7,38.5,44.6,,
Harper Woods,48225,38844.00,35.5,36.4,34.2,,
Detroit,48226,37917.00,38.1,31.1,44.3,,
Detroit,48227,24034.00,36.1,36.1,36.2,,
Detroit,48228,39179.00,40.1,37,42.6,,
Ecorse,48229,74090.00,34.8,35.6,34.1,,
Grosse Pointe,48230,46209.00,39,35.8,40.6,,
Detroit,48234,38933.00,34.9,32.3,37.4,,
Detroit,48235,37206.00,31.3,30.6,32.2,,
Grosse Pointe,48236,52600.00,35.4,30.9,39.7,,
Oak Park,48237,75236.00,33.3,33.1,34,,
Detroit,48238,31211.00,39.6,37.9,40.7,,
Redford,48239,31330.00,29.6,28,31.9,,
Redford,48240,36985.00,36,38.8,34.2,,
Detroit,48242,125018.00,43.3,44.7,42.4,,
Bloomfield Towns,48301,33583.00,34,31.4,36.7,,
Bloomfield Towns,48302,33583.00,34,31.4,36.7,,
Bloomfield Towns,48304,36219.00,37.5,34.5,40.9,,
Rochester Hills,48306,120156.00,43.2,41.6,45.2,,
Rochester Hills,48307,58700.00,38,36.1,41.7,,
Rochester Hills,48309,28701.00,36.6,35.9,37.3,,
Sterling Heights,48310,62278.00,36.9,33.3,40.1,,
Sterling Heights,48312,55352.00,39.4,35,41.7,,
Sterling Heights,48313,58815.00,38.15,34.15,40.9,,
Sterling Heights,48314,58815.00,38.15,34.15,40.9,,
Shelby Township,48315,156192.00,47.3,47.2,47.4,,
Shelby Township,48316,150556.00,45.1,46.3,43.8,,
Shelby Township,48317,131270.00,51.5,50.6,52.3,,
Sylvan Lake,48320,161851.00,43.7,43.7,43.7,,
West Bloomfield,48322,94914.00,38.7,37.6,39.8,,
Orchard Lake,48323,108588.00,41.9,41.3,43.1,,
Orchard Lake,48324,67389.00,38.8,36.4,40.8,,
Auburn Hills,48326,67126.00,41.6,39.7,42.7,,
Waterford,48327,79602.00,41.4,40.7,42.4,,
Waterford,48328,70331.00,45.5,44.1,47.1,,
Waterford,48329,97201.00,49,47.1,50.4,,
Farmington Hills,48331,91920.00,45.4,45.8,45.2,,
Farmington Hills,48334,67122.00,37.7,36.2,38.9,,
Farmington Hills,48335,69139.00,42.5,40.9,44.1,,
Farmington Hills,48336,103293.00,45.4,43.3,47.6,,
Pontiac,48340,125262.00,48.6,45.8,49.7,,
Pontiac,48341,131002.00,46.3,44.6,47.5,,
Pontiac,48342,74308.00,35.8,34.3,38.8,,
Independence,48346,63998.00,39.7,37.8,41.2,,
Independence,48348,60825.00,41.9,40.6,42.6,,
Springfield,48350,80016.00,45.4,44,47.4,,
Hartland,48353,111471.00,48.2,48,48.4,,
Highland,48356,85992.00,43.7,41.7,45.4,,
Highland,48357,89859.00,36,34.2,39.5,,
Orion,48359,77993.00,41.1,39.2,42.4,,
Orion,48360,40982.00,32.2,30.8,34.6,,
Orion,48362,36538.00,36.9,35.8,38.8,,
Oakland,48363,28561.00,30.5,31.2,29.5,,
Addison Township,48367,84795.00,39.2,39.8,38.7,,
Oxford,48370,115772.00,42.3,41.6,43.1,,
