Name,ZIP,Median_Income,Median_Age,Median_Male_Age,Median_Female_Age,postal_code,Business_Count
Center Line,48015,47391,41,37.1,42.8,48015,1
Eastpointe,48021,52155,38.1,34.8,39.9,48021,2
Clinton Township,48035,52749,39.3,32.3,46.8,48035,2
Clinton Township,48036,61527,38.9,37.6,40,48036,3
Marysville,48040,60542,47.8,50,45.1,48040,3
Mount Clemens,48043,114395,42,40.3,42.9,48043,3
Chesterfield,48047,102824,38.4,37.4,39.2,48047,1
Fort Gratiot,48059,80644,35.5,35.5,35.5,48059,1
Port Huron,48060,69306,51.7,52.1,51.6,48060,5
Roseville,48066,80781,40,35.1,44,48066,2
Royal Oak,48067,86886,46.9,47.3,46.4,48067,2
Madison Heights,48071,134917,45.1,43.9,45.5,48071,2
Berkley,48072,157665,44.7,43.7,46.1,48072,2
Lathrup Village,48076,55942,43.9,40.8,44.8,48076,2
Saint Clair,48079,61716,38.4,33.2,42.6,48079,2
Saint Clair Shor,48082,62521,45.2,41.2,49.6,48082,1
Warren,48091,101599,38.2,37.3,38.9,48091,2
Warren,48092,123388,43.1,40.3,46,48092,1
Washington,48095,47118,37.3,36.5,38.3,48095,1
Brockway,48097,59426,42.5,39.7,46.3,48097,1
Ann Arbor,48103,109250,49.5,54.1,48.1,48103,4
Ann Arbor,48104,53063,40.7,37.8,44.1,48104,4
Belleville,48111,58082,23.3,23.3,23.4,48111,1
Brighton,48116,83947,29.8,27.9,33.8,48116,3
Chelsea,48118,11404,19.2,19.1,19.2,48118,1
Dearborn,48124,93022,45.9,43.4,47.8,48124,1
Dearborn,48126,85731,48,45.3,50.3,48126,1
Dearborn Heights,48127,56025,29.5,30,29.2,48127,1
Dundee,48131,52912,37.5,35.6,40.2,48131,1
Garden City,48135,88229,36.5,33.6,38.2,48135,2
Inkster,48141,59049,41.4,40.2,42.9,48141,1
Lambertville,48144,113644,52.2,51.8,52.4,48144,1
Lincoln Park,48146,87400,38.3,34.6,40.6,48146,2
Livonia,48150,34122,31.1,28.8,33.4,48150,3
Manchester,48158,49794,35.3,34.4,36.3,48158,1
Monroe,48161,92485,46.8,45.4,48.5,48161,5
Monroe,48162,42125,53.8,56.5,51.4,48162,3
Plymouth,48170,96507,46.6,45.3,47.2,48170,1
Romulus,48174,66370,36.9,36.6,37.7,48174,2
Saline,48176,105802,46.9,45.4,47.7,48176,2
South Lyon,48178,153665,44.5,44.5,44.6,48178,2
Taylor,48180,96861,47.2,45.8,48.3,48180,1
Woodhaven,48183,58558,38.6,36.2,40.1,48183,3
Wayne,48184,103172,44.4,43.4,46.1,48184,2
Westland,48185,76157,34.4,34.6,32.2,48185,3
Canton,48187,93066,43,39.4,46.3,48187,4
Southgate,48195,58759,37.5,37.5,37.6,48195,4
Ypsilanti,48197,100150,39.9,38.1,41.4,48197,2
Ypsilanti,48198,109037,39.9,38.7,40.7,48198,2
Detroit,48204,58869,39.7,38.9,40.5,48204,1
Detroit,48209,21180,31.8,30.1,34,48209,2
Hamtramck,48212,27609,40.3,39.6,41.3,48212,2
Detroit,48224,30017,40.7,38.5,44.6,48224,2
Detroit,48226,37917,38.1,31.1,44.3,48226,1
Grosse Pointe,48230,46209,39,35.8,40.6,48230,1
Detroit,48234,38933,34.9,32.3,37.4,48234,1
Grosse Pointe,48236,52600,35.4,30.9,39.7,48236,1
Oak Park,48237,75236,33.3,33.1,34,48237,3
Detroit,48238,31211,39.6,37.9,40.7,48238,1
Redford,48240,36985,36,38.8,34.2,48240,2
Rochester Hills,48307,58700,38,36.1,41.7,48307,4
Rochester Hills,48309,28701,36.6,35.9,37.3,48309,1
Sterling Heights,48312,55352,39.4,35,41.7,48312,1
Sterling Heights,48314,58815,38.15,34.15,40.9,48314,1
Shelby Township,48315,156192,47.3,47.2,47.4,48315,3
Shelby Township,48316,150556,45.1,46.3,43.8,48316,1
Shelby Township,48317,131270,51.5,50.6,52.3,48317,1
Orchard Lake,48324,67389,38.8,36.4,40.8,48324,1
Auburn Hills,48326,67126,41.6,39.7,42.7,48326,1
Waterford,48327,79602,41.4,40.7,42.4,48327,3
Waterford,48329,97201,49,47.1,50.4,48329,2
Farmington Hills,48336,103293,45.4,43.3,47.6,48336,1
Pontiac,48340,125262,48.6,45.8,49.7,48340,1
Pontiac,48341,131002,46.3,44.6,47.5,48341,1
Pontiac,48342,74308,35.8,34.3,38.8,48342,1
Independence,48346,63998,39.7,37.8,41.2,48346,1
Highland,48357,89859,36,34.2,39.5,48357,1
Oxford,48371,97981,39.5,39.1,39.9,48371,1
Novi,48377,86979,47.1,46.4,47.6,48377,1
White Lake,48386,95746,47.4,44.3,51.2,48386,1
Wolverine Lake,48390,89000,38.4,45.5,35,48390,2
Bad Axe,48413,73345,38.4,39.3,37.6,48413,3
Birch Run,48415,90273,42.2,41.7,42.9,48415,1
Carsonville,48419,74951,43.9,42.3,45.3,48419,1
Clio,48420,70215,36.1,36.3,35.8,48420,1
Columbiaville,48421,53917,51.8,46.3,55.4,48421,1
Davison,48423,63185.28,44.5,43.7,45.2,48423,2
Deckerville,48427,50200,45.8,42.2,47.9,48427,1
Fenton,48430,59081,38.6,40.3,37.5,48430,1
Flushing,48433,74531,44,40.6,45.7,48433,1
Goodrich,48438,59385,40.9,37.7,43.2,48438,1
Holly,48442,53682,48,47.4,48.5,48442,1
Imlay City,48444,88196,42.4,41.7,43.7,48444,1
Lapeer,48446,71041,42.7,40.4,45.9,48446,2
Marlette,48453,33750,32.7,28.6,46,48453,1
Metamora,48455,81012,42.5,41.1,43.3,48455,1
Montrose,48457,50563,46.3,45.8,47.3,48457,1
North Branch,48461,47625,50.3,50.3,50.1,48461,1
Otisville,48463,53484,35.5,32,39.4,48463,1
Sandusky,48471,40257,39.1,37,41.7,48471,2
Flint,48502,57857,53.6,52.6,54.6,48502,1
Flint,48505,47317,60.1,59.3,61.3,48505,1
Northeast,48506,55294,58.9,57.3,61.2,48506,4
Flint,48507,46557,58.7,58.7,58.7,48507,6
Northeast,48509,50385,48.4,46.4,56.5,48509,2
Southeast,48529,53828,47.3,47.7,46.3,48529,2
Northwest,48532,68532,45.6,41.6,48,48532,1
Saginaw,48601,58688,44.1,45.4,42.5,48601,5
Saginaw,48602,67250,44.5,41.9,44.7,48602,2
Saginaw,48603,40938,26.8,29.8,21.7,48603,3
Saginaw,48604,33179,38.6,36.1,39.9,48604,4
Beaverton,48612,59769,44.5,44.4,45.1,48612,3
Clare,48617,38724,36.3,36.3,36.3,48617,2
Gladwin,48624,48025,49.2,49.4,49,48624,1
Houghton Lake,48629,53919,38,37.3,39.7,48629,3
Lupton,48635,76402,41,39.2,43.6,48635,1
Merrill,48637,37217,51.4,49.9,53.4,48637,2
Midland,48640,80250,48.2,46.2,49.5,48640,6
Midland,48642,62639,60.6,36.6,69.4,48642,3
